Código modular,Nombre de IE,Nivel / Modalidad,Gestión / Dependencia,Dirección de IE,Departamento / Provincia / Distrito,Alumnos (Censo educativo 2019),Docentes (Censo educativo 2019),Secciones (Censo educativo 2019)
1242908,1286 HEROES DEL CENEPA,Secundaria,Pública - Sector Educación,CALLE RIO RIN S/N,Lima / Lima / La Molina,252,16,10
1243948,MODERNO,Secundaria,Privada - Particular,LOTE 25,Lima / Lima / Ate,30,8,5
336685,ANTONIO RAIMONDI,Secundaria,Privada - Particular,AVENIDA LA FONTANA 755,Lima / Lima / La Molina,399,33,20
1244227,TRILCE DE LA MOLINA,Secundaria,Privada - Particular,AVENIDA JAVIER PRADO ESTE 5431,Lima / Lima / La Molina,546,38,19
1243906,LEONARDO DE VINCI,Secundaria,Privada - Particular,AVENIDA JOSE CARLOS MARIATEGUI KM. 16.5 MZ B LOTE 13,Lima / Lima / Ate,215,21,9
1244029,MARIA DE LAS MERCEDES DE SALAMANCA,Secundaria,Privada - Particular,JIRON LOS CIRUELOS 115,Lima / Lima / Ate,1,1,1
1056720,ALPAMAYO,Secundaria,Privada - Particular,CALLE BUCARAMANGA 145,Lima / Lima / Ate,273,30,10
1243104,JACQUES COUSTEAU,Secundaria,Privada - Particular,AVENIDA SEPARADORA INDUSTRIAL MZ F LOTE 29,Lima / Lima / La Molina,50,8,5
1253277,SAN JUAN BOSCO,Secundaria,Privada - Particular,AVENIDA CENTRAL 623,Lima / Lima / Ate,89,8,5
1253319,CORAZON DE JESUS,Secundaria,Privada - Particular,CALLE SANTA CECILIA 564,Lima / Lima / Ate,45,5,5
762773,0097 PATRICIA ANTONIA LOPEZ,Secundaria,Pública - Sector Educación,CALLE APURIMAC 160,Lima / Lima / Santa Anita,241,13,9
1069954,1256 ALFONSO UGARTE,Secundaria,Pública - Sector Educación,CALLE MZ Ñ LOTE 01,Lima / Lima / Santa Anita,520,23,15
605469,0101 SHUJI KITAMURA,Secundaria,Pública - En convenio,JIRON JOSE CARLOS MARIATEGUI 355,Lima / Lima / Santa Anita,1134,43,29
743799,1225 MARIANO MELGAR,Secundaria,Pública - Sector Educación,AVENIDA SAN SEBASTIAN S/N,Lima / Lima / Santa Anita,578,30,20
605501,0106 ABRAHAM VALDELOMAR,Secundaria,Pública - Sector Educación,AVENIDA 7 DE JUNIO S/N,Lima / Lima / Santa Anita,811,43,28
578294,0108 SANTA ROSA DE QUIVES,Secundaria,Pública - Sector Educación,JIRON LAS PALMERAS 375,Lima / Lima / Santa Anita,382,20,15
578286,107 DANIEL ALCIDES CARRION GARCIA,Secundaria,Pública - Sector Educación,AVENIDA CHANCAS 3 S/N,Lima / Lima / Santa Anita,1066,53,34
765297,1219 JOSE CARLOS MARIATEGUI,Secundaria,Pública - Sector Educación,AVENIDA MONTERREY MZ J LOTE 21-22,Lima / Lima / Santa Anita,445,18,24
828491,SEBASTIAN SALAZAR BONDY,Secundaria,Privada - Particular,JIRON LOS CASCANUECES 398,Lima / Lima / Santa Anita,112,14,5
1066513,NUESTRA SEÑORA DEL ROSARIO,Secundaria,Privada - Particular,CALLE LOS ALCANFORES 1244,Lima / Lima / Santa Anita,174,8,7
1066356,CESAR VALLEJO,Secundaria,Privada - Particular,AVENIDA JOSE CARLOS MARIATEGUI 500,Lima / Lima / Santa Anita,76,7,5
1066679,VIRGEN DE FATIMA MILAGROSA,Secundaria,Privada - Particular,AVENIDA LA ENCALADA 367,Lima / Lima / Santa Anita,120,8,5
1044395,SANTA ANA,Secundaria,Privada - Particular,JIRON LAS ABUTARDAS 540,Lima / Lima / Santa Anita,94,9,5
665018,SAN JUDAS TADEO,Secundaria,Privada - Particular,AVENIDA LOS ROBLES 919,Lima / Lima / Santa Anita,58,5,5
1044155,MANUEL PARDO,Secundaria,Privada - Particular,JIRON LAS PERDICES 427,Lima / Lima / Santa Anita,47,8,5
828251,SANTA ANITA,Secundaria,Privada - Particular,CALLE LAS CALANDRIAS 399,Lima / Lima / Santa Anita,385,29,15
904045,SAN LUIS,Secundaria,Privada - Particular,JIRON LUIS DE LA PUENTE UCEDA 283,Lima / Lima / Santa Anita,23,5,5
828319,SANTO DOMINGO SAVIO,Secundaria,Privada - Particular,CALLE LOS FLAMENCOS 586,Lima / Lima / Santa Anita,88,8,5
307405,MONITOR HUASCAR,Secundaria,Privada - Particular,JIRON JAVIER HERAUD 596,Lima / Lima / Santa Anita,260,14,10
1044437,SANTA MARGARITA DE JESUS,Secundaria,Privada - Particular,JIRON GUILLERMO MOORE 295,Lima / Lima / Santa Anita,94,7,5
705160,1221 MARIA PARADO DE BELLIDO,Secundaria,Pública - Sector Educación,PARQUE SAN CARLOS 1,Lima / Lima / Santa Anita,520,26,18
1063189,0124 GLORIOSA LEGION CACERES,Secundaria,Pública - Sector Educación,CALLE MARSELLA S/N,Lima / Lima / Santa Anita,217,12,7
762781,133 JULIO CESAR TELLO,Secundaria,Pública - Sector Educación,AVENIDA FRANCISCO BOLOGNESI 1082,Lima / Lima / Santa Anita,616,33,18
664920,129 YAMAGUCHI,Secundaria,Pública - Sector Educación,JIRON LOS CEDROS CUADEA 3 S/N,Lima / Lima / Santa Anita,650,40,23
1008440,1137 JOSE ANTONIO ENCINAS,Secundaria,Pública - Sector Educación,JIRON LAS GRULLAS 800,Lima / Lima / Santa Anita,1042,60,37
535625,ALFONSO UGARTE,Secundaria,Privada - Particular,JIRON LOS PINOS 514,Lima / Lima / Santa Anita,458,19,18
903955,LEONCIO PRADO,Secundaria,Privada - Particular,CALLE LOS CIPRESES 526,Lima / Lima / Santa Anita,20,6,2
762765,SAN MARTIN DE PORRES,Secundaria,Privada - Particular,"CALLE MARIANO BUSTAMANTE S/N MZ F-4 LOTE 6,7",Lima / Lima / Santa Anita,361,23,15
643841,1211 JOSE MARIA ARGUEDAS ALTAMIRANO,Secundaria,Pública - Sector Educación,AVENIDA COLECTORA INDUSTRIAL S/N,Lima / Lima / Santa Anita,353,22,13
1007897,DIEGO THOMSON,Secundaria,Privada - Particular,AVENIDA COLECTORA MZ LL LOTE 8,Lima / Lima / Santa Anita,123,7,5
904078,SAN JOSE DE LOS FICUS,Secundaria,Privada - Particular,JIRON LAS CASUARINAS 583,Lima / Lima / Santa Anita,32,8,5
1066430,DON BOSCO,Secundaria,Privada - Particular,JIRON LOS ROBLES 101,Lima / Lima / Santa Anita,7,3,4
1007335,LUMBRERAS DE SANTA ANITA,Secundaria,Privada - Particular,AVENIDA FRANCISCO BOLOGNESI 1089,Lima / Lima / Santa Anita,48,8,5
903625,ANTONIO RAIMONDI,Secundaria,Privada - Particular,JIRON TRUJILLO NORTE 341,Lima / Lima / Lurigancho,84,8,5
1044353,SAN JUAN MACIAS,Secundaria,Privada - Particular,MZ C LOTE 9,Lima / Lima / Santa Anita,53,6,5
1226463,INGENIEROS & ARQUITECTOS UNI,Secundaria,Privada - Particular,CALLE LOS ALISOS 105,Lima / Lima / Santa Anita,24,8,5
1226224,DULCE NOMBRE DE JESUS,Secundaria,Privada - Particular,AVENIDA FRANCISCO BOLOGNESI 632,Lima / Lima / Santa Anita,80,10,5
1226901,JUAN ESPINOZA MEDRANO,Secundaria,Privada - Particular,CALLE SIETE MZ D LOTE 41-47,Lima / Lima / Santa Anita,311,15,10
1253996,PRINCIPE DE PAZ,Secundaria,Privada - Particular,AVENIDA J C MARIATEGUI LOTE 36-37 ZONA E,Lima / Lima / Ate,37,6,5
1254150,CRISTO REINA I,Secundaria,Privada - Particular,AVENIDA CENTRAL 601,Lima / Lima / Ate,26,5,5
1254192,1268 GUSTAVO MOHME LLONA,Secundaria,Pública - Sector Educación,AVENIDA 15 DE JULIO HUAYCAN LOTE 4,Lima / Lima / Ate,385,18,12
1254358,HOGAR DE JESUS,Secundaria,Privada - Particular,AVENIDA LOS ROSALES 144,Lima / Lima / Ate,127,8,8
1254556,ASIS,Secundaria,Privada - Particular,PASAJE LA FLORIDA 389,Lima / Lima / Chaclacayo,121,9,5
1254630,HANS CHRISTIAN ANDERSEN,Secundaria,Privada - Particular,AVENIDA LOS ALAMOS 133,Lima / Lima / Chaclacayo,3,1,2
1254994,SAN ANDRES,Secundaria,Privada - Particular,CALLE HUERTOS DE LA MOLINA MZ L1 LOTE 4,Lima / Lima / La Molina,16,9,4
1255074,PASCUAL SACO OLIVEROS - LUMBRERAS,Secundaria,Privada - Particular,CALLE MADRE DE DIOS MZ Q LOTE 13,Lima / Lima / Ate,141,5,5
1264779,LOMAS DE SANTA MARIA,Secundaria,Privada - Particular,AVENIDA LAS ACACIAS 477,Lima / Lima / Chaclacayo,288,20,10
1265214,1282 AYMON LA CRUZ LOPEZ,Secundaria,Pública - Sector Educación,AVENIDA LAS MORAS S/N,Lima / Lima / Lurigancho,318,15,10
1265370,SANTA MARIA DEL CAMINO,Secundaria,Privada - Particular,CALLE THALIA MZ H1 LOTE 7-8,Lima / Lima / Ate,103,11,5
1265453,MANUEL ELIAS BONNEMAISON,Secundaria,Privada - Particular,AVENIDA MANUEL ELIAS BONNEMAISON 180-1,Lima / Lima / Ate,10,1,1
1265495,SAN PEDRO,Secundaria,Privada - Particular,CALLE HURON,Lima / Lima / La Molina,339,32,15
1265602,JIREH,Secundaria,Privada - Particular,CALLE TUMI 248,Lima / Lima / Santa Anita,26,7,3
1267418,CRNL LEONCIO PRADO GUTIERREZ DE SANTA ANITA,Secundaria,Privada - Particular,MZ LL LOTE 1-2 ETAPA II,Lima / Lima / Santa Anita,66,9,5
1268192,CIENTIFICO NIVEL A,Secundaria,Privada - Particular,AVENIDA JAVIER PRADO ESTE 4639,Lima / Lima / La Molina,257,30,13
1268473,HELAMAN,Secundaria,Privada - Particular,AVENIDA PROLONG LIMA NORTE 599,Lima / Lima / Lurigancho,65,8,5
1505403,SACO OLIVEROS,Secundaria,Privada - Particular,JIRON CALCA 175,Lima / Lima / Ate,157,5,5
1505494,FE Y ALEGRIA 53,Secundaria,Pública - En convenio,PARQUE UCV 56,Lima / Lima / Ate,560,23,15
1505601,MARTIN ADAN,Secundaria,Privada - Particular,AVENIDA SAN MARTIN ZONA D MZ D LOTE 25 A,Lima / Lima / Cieneguilla,43,6,5
1505684,SIGMA,Secundaria,Privada - Particular,AVENIDA LOS FRUTALES 953,Lima / Lima / La Molina,169,13,8
325639,FAP JOSE ABELARDO QUIÑONES,Secundaria,Pública - Otro Sector Público,VIA EVITAMIENTO,Lima / Lima / La Molina,556,40,20
1505783,SANTA MARIA DE JESUS,Secundaria,Privada - Particular,SAN CARLOS MZ K LOTE 7,Lima / Lima / Santa Anita,10,4,1
1505890,BOURBAKI,Secundaria,Privada - Particular,JIRON LOS LIBERTADORES 344 MZ H LOTE 16 ETAPA II,Lima / Lima / Santa Anita,48,8,5
1506005,ELVIRA GARCIA Y GARCIA BERT,Secundaria,Privada - Particular,AVENIDA PROLONGACION JAVIER PRADO ESTE 9115,Lima / Lima / Ate,26,5,5
1506039,JESUS GUIA,Secundaria,Privada - Particular,AVENIDA SAN MARTIN 613 MZ B LOTE 17,Lima / Lima / Ate,101,9,5
1506062,OSCAR MIRO QUESADA,Secundaria,Privada - Particular,AVENIDA LOS ROSALES 789,Lima / Lima / Ate,120,10,6
1506088,SAN IISIDRO PATRON DE JICAMARCA,Secundaria,Privada - Particular,CALLE LAS FLORES MZ J LOTE 32,Lima / Lima / Lurigancho,212,8,9
1506195,SANTA INES,Secundaria,Privada - Particular,AVENIDA GRAU 2550,Lima / Lima / Ate,82,8,5
1506336,WILLIAM SHAKESPEARE,Secundaria,Privada - Particular,CALLE ALAMEDA DE ATE MZ Ñ LOTE 17,Lima / Lima / Santa Anita,95,11,5
1506583,LA CATOLICA,Secundaria,Privada - Particular,JIRON SALAVERRY 280,Lima / Lima / Lurigancho,81,8,5
1506864,CORAZON DE JESUS DE SANTA CLARA,Secundaria,Privada - Particular,AVENIDA INDEPENDENCIA 309,Lima / Lima / Ate,115,12,5
1275536,LA MOLINA CHRISTIAN SCHOOLS,Secundaria,Privada - Particular,AVENIDA LA MOLINA ESTE S/N MZ S LOTE 1-2 ETAPA II,Lima / Lima / La Molina,106,14,5
1506872,1279,Secundaria,Pública - Sector Educación,AVENIDA PROLONGACION 15 DE JULIO S/N ZONA R,Lima / Lima / Ate,382,19,14
1275213,SALESIAN INNOVA,Secundaria,Privada - Particular,AVENIDA MARISCAL CACER5ES 251,Lima / Lima / Ate,14,8,5
1276310,PERUANO DE CIENCIAS,Secundaria,Privada - Particular,CALLE RIO CAUCA Y RIO NIGER MZ N LOTE 10,Lima / Lima / La Molina,79,9,5
1507094,1277 DIVINO SALVADOR,Secundaria,Pública - Sector Educación,AVENIDA 13 JUNIO S/N,Lima / Lima / Lurigancho,290,15,10
1507102,CORAZON DE GUADALUPE,Secundaria,Privada - Particular,LOTE 35,Lima / Lima / Ate,68,5,5
1277037,ALTAIR,Secundaria,Privada - Particular,AVENIDA LA ARBOLEDA 385,Lima / Lima / La Molina,344,39,15
1231737,SACO OLIVEROS SISTEMA MARSHALL,Secundaria,Privada - Particular,AVENIDA LOS PROCERES DE LA INDEPENDENCIA MZ J-1 LOTE 3,Lima / Lima / San Juan de Lurigancho,397,11,11
1224831,SAN FRANCISCO DE ASIS,Secundaria,Privada - Parroquial,AREA DE SERVICIOS N 9 LOTE 4 ZONA G,Lima / Lima / Ate,345,22,11
1507250,1224,Secundaria,Pública - Sector Educación,AVENIDA SAN JUAN S/N,Lima / Lima / Lurigancho,328,14,10
1275379,SANTA LUISA DE MARILLAC,Secundaria,Privada - Particular,AVENIDA SANTA ROSA 427,Lima / Lima / Santa Anita,65,3,5
1275619,NEW ALBERT EINSTEIN SCHOOL,Secundaria,Privada - Particular,AVENIDA MAYTA CAPAC MZ A LOTE 03,Lima / Lima / Cieneguilla,153,8,5
1507292,SAN VICENTE DE PAUL,Secundaria,Privada - Particular,JIRON EL MOLINO 106,Lima / Lima / La Molina,62,13,5
1507342,SOMOS CULTURA ORGANIZADA ACADEMICAMENTE,Secundaria,Privada - Particular,MZ D LOTE 16 SECTOR II,Lima / Lima / Ate,18,8,5
1505791,EULER,Secundaria,Privada - Particular,AVENIDA JOSE CARLOS MARIATEGUI UCV 5 LOTE 24 ZONA B,Lima / Lima / Ate,202,20,10
1506211,SANTISIMA VIRGEN DE LAS MERCEDES,Secundaria,Privada - Particular,CALLE LA FLORESTA MZ A LOTE 10,Lima / Lima / Chaclacayo,77,11,5
1507524,TRILCE DE SANTA ANITA,Secundaria,Privada - Particular,"JIRON JOSE MARIA EGUREN S/N MZ E LOTE 11,12,13 Y 14",Lima / Lima / Santa Anita,470,38,14
1507532,1270 JUAN EL BAUTISTA,Secundaria,Pública - Sector Educación,CALLE ALTO PERU UCV 171-B LOTE 80,Lima / Lima / Ate,306,20,10
1507557,1283 OKINAWA,Secundaria,Pública - Sector Educación,MZ D,Lima / Lima / Ate,248,13,9
1507599,JULIO RAMON RIBEYRO,Secundaria,Privada - Particular,PASAJE HUANCHIHUAYLAS 187,Lima / Lima / Ate,447,11,16
1507664,CIENCIAS APLICADAS ALBERT EINSTEIN,Secundaria,Privada - Particular,AVENIDA 15 DE JULIO UCV 26 LOTE 1 ZONA B,Lima / Lima / Ate,65,5,5
1506948,VIRGEN DEL ROSARIO DE SALAMANCA DE MONTERRICO,Secundaria,Privada - Particular,CALLE TRES MZ E LOTE 2,Lima / Lima / Ate,46,8,5
1507037,MARIA RAFOLS,Secundaria,Privada - Particular,AVENIDA MARISCAL CACERES 434,Lima / Lima / Ate,95,12,5
1507219,UNIMASTER,Secundaria,Privada - Particular,AVENIDA JOSE MARIA MORELOS 251 MZ A LOTE 01,Lima / Lima / Ate,9,5,5
1506849,EMANUEL,Secundaria,Privada - Particular,CALLE 2 S/N MZ J LOTE 2,Lima / Lima / Lurigancho,152,14,5
1507706,SACO OLIVEROS APEIRON,Secundaria,Privada - Particular,AVENIDA LOS INGENIEROS 417 MZ B LOTE 4,Lima / Lima / Ate,323,10,10
1507789,BLAISE PASCAL,Secundaria,Privada - Particular,MZ C LOTE 5,Lima / Lima / Cieneguilla,100,10,5
1507839,MAHATMA GANDHI,Secundaria,Privada - Particular,CALLE 1 DE MAYO MZ LL LOTE 10,Lima / Lima / Ate,165,7,5
1507870,CULTURA NASCA,Secundaria,Privada - Particular,AVENIDA HUANCARAY MZ L LOTE 3-7,Lima / Lima / Santa Anita,28,4,4
1508019,TRILCE DE SALAMANCA,Secundaria,Privada - Particular,CALLE LOS PARACAS 692 MZ N LOTE 17,Lima / Lima / Ate,297,31,10
1508076,MARTIR DE LA MEDICINA DANIEL A. CARRION,Secundaria,Privada - Particular,CALLE LAS PRADERAS DE PARIACHI S/N MZ F LOTE 7-8,Lima / Lima / Ate,102,6,5
1508118,LOS PORTALES DEL SABER,Secundaria,Privada - Particular,"LOS OLIVOS MZ A LOTE 2,3,4",Lima / Lima / Ate,108,9,5
1508175,ALFRED NORTH WHITEHEAD,Secundaria,Privada - Particular,JIRON RIO DE JANEIRO 514,Lima / Lima / Ate,33,4,5
1508480,SANTA INES,Secundaria,Privada - Particular,CALLE PARACAS MZ B LOTE 2,Lima / Lima / Ate,91,8,5
1508563,SELECCION A DE ATE,Secundaria,Privada - Particular,MZ A LOTE 14,Lima / Lima / Ate,163,8,5
1508621,JESUS DE NAZARETH,Secundaria,Privada - Particular,AVENIDA LAS PRADERAS DE HUACHIPA MZ G LOTE 3 Y 4,Lima / Lima / Lurigancho,49,6,5
1508654,MAESTRO CESAR VALLEJO,Secundaria,Privada - Particular,LOS ANGELES MZ H LOTE 25,Lima / Lima / Ate,50,8,5
1508662,EDUARDO FORGA,Secundaria,Privada - Particular,AVENIDA LIMA SUR 765,Lima / Lima / Lurigancho,145,8,5
1508696,AUGUSTO SALAZAR BONDY,Secundaria,Privada - Particular,PASAJE VIÑAS DE LA MOLINA MZ D LOTE 13-14,Lima / Lima / La Molina,92,11,5
1508704,JOSE INGENIEROS,Secundaria,Privada - Particular,AVENIDA JOSE CARLOS MARIATEGUI LOTE 8-9 ZONA P,Lima / Lima / Ate,115,5,5
1508779,WALDORF DE CIENEGUILLA,Secundaria,Privada - Particular,"CALLE EL MOLLE MZ 2 LOTE 2,3 Y 11 SECTOR III",Lima / Lima / Cieneguilla,100,9,5
1508829,EBEN EZER,Secundaria,Privada - Particular,AVENIDA LOS SAUCES 453,Lima / Lima / Chaclacayo,42,10,5
1508837,SAN ISIDRO PATRON DE VITARTE,Secundaria,Privada - Particular,AVENIDA JAVIER PRADO ESTE MZ G LOTE 10-A ETAPA I,Lima / Lima / Ate,105,4,5
1508845,PERUANO AMERICANO,Secundaria,Privada - Particular,CALLE TRECE MZ H LOTE 4-5-6-7,Lima / Lima / Lurigancho,273,8,9
692459,VICTOR RAUL HAYA DE LA TORRE,Secundaria,Pública - Sector Educación,CARRETERA LIMA- HUARORICHIRI KM 26.5,Lima / Lima / Cieneguilla,327,21,11
1508902,PEDRO PAULET,Secundaria,Privada - Particular,MZ M LOTE 01,Lima / Lima / Lurigancho,36,6,5
1509108,CIBERT UNI DE ATE VITARTE,Secundaria,Privada - Particular,MZ A LOTE 1,Lima / Lima / Ate,318,18,15
1509132,KAROL WOJTYLA,Secundaria,Privada - Particular,MZ C LOTE 21-22 ETAPA II,Lima / Lima / Ate,122,4,5
1509181,LA SAGRADA FAMILIA,Secundaria,Privada - Particular,AVENIDA SAN ALFONSO 362,Lima / Lima / Ate,856,43,42
1509421,CIBER UNI LAS PRADERAS,Secundaria,Privada - Particular,AVENIDA FERROCARRIL 788 MZ CH LOTE 1,Lima / Lima / Santa Anita,66,11,5
1509488,SAN AGUSTIN,Secundaria,Privada - Particular,CALLE LA ENCALADA MZ A LOTE 6,Lima / Lima / Santa Anita,175,10,9
1509587,ERNEST HEMINGWAY,Secundaria,Privada - Particular,AVENIDA LAS AVUTARDAS S/N MZ F LOTE 6,Lima / Lima / Santa Anita,17,3,2
1509611,ARIEL,Secundaria,Privada - Particular,JIRON CUZCO 300,Lima / Lima / Lurigancho,12,5,5
1509629,SAN ANTONIO DE CARAPONGO,Secundaria,Privada - Particular,CALLE 16 MZ V LOTE 39,Lima / Lima / Lurigancho,51,5,5
1509686,THALES DE VITARTE,Secundaria,Privada - Particular,CALLE CORAZON DE JESUS 114,Lima / Lima / Ate,217,9,10
1509728,RICARDO PALMA,Secundaria,Privada - Particular,JIRON CULTURA MOCHICA 316,Lima / Lima / Santa Anita,139,11,7
1509751,SACO OLIVEROS HELICOIDAL,Secundaria,Privada - Particular,"JIRON LAS VEGAS S/N MZ A-25 LOTE 1 A 10, 25 A 37",Lima / Lima / Santa Anita,875,25,25
1509835,INTERNACIONAL ELIM HUAYCAN,Secundaria,Privada - Particular,AVENIDA LOS INCAS MZ I LOTE 3,Lima / Lima / Ate,210,18,12
1509876,ALEXANDER GRAHAM BELL,Secundaria,Privada - Particular,RESIDENCIAL EL LUCUMO LOTE 22-23,Lima / Lima / Ate,4,5,1
1509934,SANTA FORTUNATA,Secundaria,Privada - Particular,CALLE LAS LILAS 188,Lima / Lima / Ate,36,8,5
1510007,MIGUEL ANGEL ASTURIAS,Secundaria,Privada - Particular,PROG VIV STA MARTHA MZ A LOTE 9-10,Lima / Lima / Ate,94,5,5
1510064,EL EDEN,Secundaria,Privada - Particular,"GLORIA ALTA MZ A LOTE 2,4,16,18",Lima / Lima / Ate,9,3,2
1510247,TECHNOLOGY SCHOOLS DE LOS FICUS I,Secundaria,Privada - Particular,CALLE LOS ROBLES 325,Lima / Lima / Santa Anita,557,29,15
1510312,DANIEL GOLEMAN,Secundaria,Privada - Particular,CALLE LOS ANDES 184,Lima / Lima / Ate,22,4,4
1510353,LA SORBONA DE LIMA,Secundaria,Privada - Particular,AVENIDA BERNARDINO RIVADAVIA MZ F LOTE 01,Lima / Lima / Ate,31,5,5
1510361,RUBEN DARIO,Secundaria,Privada - Particular,PASAJE MAUTA MZ X LOTE 11 SECTOR 8 ZONA A,Lima / Lima / Ate,63,7,5
1056704,YACHAYHUASI,Secundaria,Privada - Particular,AVENIDA LOS PINOS S/N MZ L LOTE 7,Lima / Lima / Chorrillos,206,17,10
1081793,EL BUEN MAESTRO,Secundaria,Privada - Particular,AVENIDA ARAMBURU 962,Lima / Lima / Surquillo,39,9,5
583203,ALCIDES VIGO HURTADO,Secundaria,Pública - Otro Sector Público,AVENIDA VILLA CARRILLO 287,Lima / Lima / Santiago de Surco,362,24,12
1085976,LOS INKAS,Secundaria,Pública - Sector Educación,CALLE 1 Y 7,Lima / Lima / Chorrillos,268,20,10
323345,7014 VASIL LEVSKI,Secundaria,Pública - Sector Educación,AVENIDA LAS MAGNOLIAS S/N,Lima / Lima / Surquillo,357,21,13
1085851,7083 MANUEL GONZALES PRADA,Secundaria,Pública - Sector Educación,CALLE DEL COMERCIO 193,Lima / Lima / San Borja,858,47,30
325548,6085 BRIGIDA SILVA DE OCHOA,Secundaria,Pública - Sector Educación,AVENIDA ESCUELA MILITAR 851,Lima / Lima / Chorrillos,893,56,36
329813,6053 SAGRADO CORAZON,Secundaria,Pública - En convenio,AVENIDA CHORRILLOS 528 SECTOR S,Lima / Lima / Chorrillos,409,23,14
330464,7049 JOSE ABELARDO QUIÑONES,Secundaria,Pública - Sector Educación,AVENIDA JORGE CHAVEZ 489,Lima / Lima / Barranco,216,14,8
693622,7066 ANDRES AVELINO CACERES,Secundaria,Pública - Sector Educación,AVENIDA 12 DE OCTUBRE S/N,Lima / Lima / Chorrillos,398,29,14
505149,6090 JOSE OLAYA BALANDRA,Secundaria,Pública - Sector Educación,AVENIDA MACHU PICCHU S/N,Lima / Lima / Chorrillos,1138,60,38
774737,7038 CORAZON DE JESUS DE ARMATAMBO,Secundaria,Pública - Sector Educación,AVENIDA DEFENSORES DEL MORRO CUADRA 23,Lima / Lima / Chorrillos,306,17,12
1056902,7075 JUAN PABLO II,Secundaria,Pública - Sector Educación,CALLE 8 S/N,Lima / Lima / Chorrillos,731,43,26
