753384,10135 PEDRO RUIZ GALLO
626408,10138 AUGUSTO CASTILLO MURO SIME
710533,10139 AGUSTIN GAVIDIA SALCEDO
1158062,10141 - 7 DE NOVIEMBRE
1132141,10142 SAN JULIAN
753616,10143 CRISTO REY
669531,10146 NUESTRA SEÑORA DEL CARMEN
626804,10148
580340,10149 ELMER CORTEZ SERQUEN
1132109,10151 JOSE ABELARDO QUIÑONES GONZALES
1259472,10153
453076,10157 INCA GARCILAZO DE LA VEGA
620120,10158 JULIO C.TELLO
620153,10159 DANIEL ALCIDES CARRION
1577360,10160 ROSA DE AMERICA
672345,10161 FAUSTINO SANCHEZ CARRION
620187,10163 JORGE BASADRE GROHMANN
1465491,10164 DIVINO NIÑO JESUS
544916,10165 MIGUEL GRAU SEMINARIO
710350,10167 LOS POSITOS
672352,10168 SAN PEDRO
1638527,10169 SEÑOR DE LA DIVINA MISERICORDIA
1131861,10171 MCAL. RAMON CASTILLA
619585,10176 DANIEL ALCIDES CARRION
672469,10177 EL PUENTE
493536,10178 DIVINO MAESTRO
574210,10179 GUSTAVO MONME LLONA
493601,10180 HERNANDO PEREZ FERNANDEZ
648162,10181 CESAR A. VALLEJO MENDOZA
626770,10182
753574,10183 EL MUERTO
753582,10187 EL VIRREY
753566,10189 PASAJE NORTE
1723048,10191 MARIA ELENA MOYANO
709790,10196 NUESTRA SEÑORA DEL CARMEN
753590,10200 JESUS TEODORO SERRATO MIO
578393,1021 REPUBLICA FEDERAL DE ALEMANIA
710830,10212 DIVINO CRISTO DE LOS MILAGROS
626499,10214
1157742,10224 NICANOR DE LA FUENTE SIFUENTES-NIXA
648048,10228 ELINA VINCES LLANOS
856351,10229 NICOLAS ZAPATA SALDARRIAGA
753376,10232 HORACIO ZEBALLOS GAMEZ
710418,10233 CAP. FAP. JOSE ABELARDO QUIÑONES GONZALES
1008929,1025 MARIA PARADO DE BELLIDO
1783125,1026
497081,1028 REPUBLICA ARGENTINA
1781590,103
207399,103 INA ANTONIO RAYMONDI
556332,103 LUIS ARMANDO CABELLO HURTADO
728055,1030 REPUBLICA DE BOLIVIA
1783133,1031
642801,1035 JOSE DEL CARMEN MARIN ARISTA
544411,10360 SAN MARCOS
1468669,10369 SEÑOR DE LA ESPERANZA
555847,1037 RAMON ESPINOSA
373555,104 ABELARDO SOLIS
689018,10411
1063262,1044 MARIA REICHE NEWMANN
1063304,1047 JUANA INFANTES VERA
501676,1049 JUANA ALARCO DE DAMMERT
336511,105 PEDRO CORONADO ARRASCUE
340281,1057 JOSE BAQUIJANO Y CARRILLO
1389659,106
1771146,10623 JOSE CARLOS MARIATEGUI
753723,10624
578286,107 DANIEL ALCIDES CARRION GARCIA
245647,1070 MELITON CARVAJAL
